ProductID,ProductName,ProductCategory,UnitOfMeasure,BasePrice
1001,Pick Image,Coffee,BOTTLE,2.05
1002,Born Near,Energy Drink,BOTTLE,4.36
1003,Old Tell,Tea,BOX,4.31
1004,Daughter Drop,Coffee,CAN,1.87
1005,Attorney Cover,Carbonated Soft Drink,CAN,1.06
1006,Sign Ability,Tea,BOTTLE,2.13
1007,Cut Then,Carbonated Soft Drink,BOTTLE,1.1
1008,Success Get,Coffee,CASE,3.48
1009,Party Great,Energy Drink,CAN,3.72
1010,Collection Wear,Coffee,CAN,4.76
1011,Collection Religious,Carbonated Soft Drink,BOTTLE,1.31
1012,Energy Teacher,Water,BOTTLE,1.43
1013,Vote Term,Juice,BOX,4.15
1014,Watch Could,Juice,CAN,3.81
1015,Gun Rate,Energy Drink,CASE,3.04
1016,Compare Ground,Water,CASE,1.22
1017,New Occur,Energy Drink,CAN,1.74
1018,Sense Fill,Juice,BOTTLE,4.21
1019,Purpose Enter,Juice,CASE,3.92
1020,Discuss Them,Juice,CASE,2.56
1021,Think Decide,Carbonated Soft Drink,CAN,0.85
1022,Under Dog,Coffee,CASE,2.91
1023,Information Democrat,Tea,CASE,3.8
1024,Culture Guess,Carbonated Soft Drink,CAN,4.24
1025,Stand Property,Tea,CASE,1.85
